quarter,row_id,label,unweighted,weighted,bank,source_file,unit,unweighted_inr_crore,weighted_inr_crore
2026-06-30,12,Total Cash Inflows,3766103.04,2861624.82,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,376610.304,286162.482
2026-03-31,12,Total Cash Inflows,3523346.68,2758786.91,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,352334.66800000006,275878.69100000005
2026-06-30,13,TOTAL HQLA,,8383912.73,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,,838391.273
2026-03-31,13,TOTAL HQLA,,7753881.71,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,,775388.1710000001
2026-06-30,14,Total Net Cash Outflows,,7290432.37,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,,729043.2370000001
2026-03-31,14,Total Net Cash Outflows,,6829016.86,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,,682901.6860000001
2026-06-30,15,Liquidity Coverage Ratio,,115.0,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,,11.5
2026-03-31,15,Liquidity Coverage Ratio,,113.54,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,,11.354000000000001
2025-12-31,1,Total High Quality Liquid Assets,,7486020.97,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,748602.0970000001
2025-09-30,1,Total High Quality Liquid Assets,,7642633.65,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,764263.3650000001
2025-06-30,1,Total High Quality Liquid Assets,,7993405.46,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,799340.5460000001
2025-12-31,2,Retail deposits,17004288.96,1478141.17,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,1700428.8960000002,147814.117
2025-09-30,2,Retail deposits,16571420.06,1453065.47,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,1657142.006,145306.547
2025-06-30,2,Retail deposits,16005984.91,1409616.48,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,1600598.4910000002,140961.64800000002
2025-12-31,2i,Stable deposits,4445754.45,222287.72,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,444575.44500000007,22228.772
2025-09-30,2i,Stable deposits,4081530.79,204076.54,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,408153.079,20407.654000000002
2025-06-30,2i,Stable deposits,3819640.08,190982.0,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,381964.00800000003,19098.2
2025-12-31,2ii,Less stable deposits,12558534.51,1255853.45,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,1255853.4510000001,125585.345
2025-09-30,2ii,Less stable deposits,12489889.27,1248988.93,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,1248988.927,124898.893
2025-06-30,2ii,Less stable deposits,12186344.83,1218634.48,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,1218634.483,121863.448
2025-12-31,3,Unsecured wholesale funding,7465533.14,4700597.64,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,746553.314,470059.76399999997
2025-09-30,3,Unsecured wholesale funding,7292362.12,4573698.16,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,729236.212,457369.81600000005
2025-06-30,3,Unsecured wholesale funding,7253897.85,4580966.7,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,725389.785,458096.67000000004
2025-12-31,3i,Operational deposits,0.0,0.0,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,0.0,0.0
2025-09-30,3i,Operational deposits,0.0,0.0,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,0.0,0.0
2025-06-30,3i,Operational deposits,0.0,0.0,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,0.0,0.0
2025-12-31,3ii,Non-operational deposits,7291615.73,4526680.23,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,729161.5730000001,452668.02300000004
2025-09-30,3ii,Non-operational deposits,7132181.0,4413517.04,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,713218.1000000001,441351.704
2025-06-30,3ii,Non-operational deposits,7080063.39,4407132.24,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,708006.339,440713.22400000005
2025-12-31,3iii,Unsecured debt,173917.41,173917.41,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,17391.741,17391.741
2025-09-30,3iii,Unsecured debt,160181.12,160181.12,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,16018.112000000001,16018.112000000001
2025-06-30,3iii,Unsecured debt,173834.46,173834.46,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,17383.446,17383.446
2025-12-31,4,Secured wholesale funding,,48772.06,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,4877.206
2025-09-30,4,Secured wholesale funding,,68844.01,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,6884.401
2025-06-30,4,Secured wholesale funding,,110461.09,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,11046.109
2025-12-31,5,Additional requirements,2949256.22,1778703.82,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,294925.62200000003,177870.382
2025-09-30,5,Additional requirements,2716522.29,1667085.25,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,271652.229,166708.52500000002
2025-06-30,5,Additional requirements,2641726.07,1617040.59,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,264172.607,161704.059
